name,cuisine,rating,delivery_time,distance,latitude,longitude,id
Chuan Taizi Mala Tang - One Raffles Place,"Chinese, Mala, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C6BYR8BBAYNCNA?
KOI Thé - One Raffles,"Bubble Tea, Coffee & Tea, Drinks & Beverages",N/A,35 mins , 1.6 km,N/A,N/A,4-C4MFVA5ALUTZAJ?
Macpherson BBQ Seafood - Leagoo Building,"Local & Malaysian, Chinese, Seafood, Noodles",N/A,30 mins , 1.3 km,N/A,N/A,SGDD06267?
Dopa Dopa Creamery - South Bridge Road,"Dessert, Ice Cream, Mart",N/A,30 mins , 1.3 km,N/A,N/A,4-C2UZJPN3LRJDLX?
Co Chung Restaurant - Lorong Telok,"Vietnamese, BBQ & Grill, Drinks & Beverages",N/A,30 mins , 1.3 km,N/A,N/A,4-C2LYG2CGC4AYJA?
Tong Xin Ru Yi - Lorong Telok,"Chinese, Noodles",N/A,25 mins , 1.3 km,N/A,N/A,4-CZDXJJMKNPBVWE?
The Supplement Haven - Circular Road,Health & Wellness,N/A,N/A,N/A,N/A,N/A,4-C32UTFWBETUYNX?
SF Fruit & Juices - One Raffles Place,"Healthy, Drinks & Beverages, Fresh Produce",N/A,30 mins , 1.5 km,N/A,N/A,4-C4MDVPMAFCDKCJ?
KS Chicken - One Fullerton,"Fried Chicken, Korean, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C6DANYWGAN2FGJ?
Freakin' Yummy Izakaya (FYI) - Circular Road,"Japanese, BBQ & Grill",N/A,25 mins , 1.5 km,N/A,N/A,4-CZDUHEJHWATWJX?
The Great Mischief - National Gallery Singapore,"Spanish, Coffee & Tea, Breakfast & Brunch, Pasta",N/A,30 mins , 1.1 km,N/A,N/A,4-C3EFE3E1RLEBDE?
Mr Bean - Raffles Place MRT Station,"Local & Malaysian, Breakfast & Brunch, Healthy",N/A,35 mins , 1.7 km,N/A,N/A,4-CYTKLXJFGRMVNA?
Legendary Bak Kut Teh - South Bridge Road,"Local & Malaysian, Chinese, Noodles",N/A,30 mins , 1.1 km,N/A,N/A,4-C2DJCGCKVN63J6?
The Grill Knife - Raffles Place MRT Station,"Kids Friendly, Halal, BBQ & Grill, Western",N/A,35 mins , 1.5 km,N/A,N/A,4-C2THVYVKT6UKCA?
Killiney Kopitiam - Lorong Telok,"Breakfast & Brunch, Drinks & Beverages, Coffee & Tea",N/A,30 mins , 1.4 km,N/A,N/A,4-C2AGSB4CRKVHL2?
MinXiaoMin - South Bridge Road,"Chinese, Vegetarian Friendly, Alcohol, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C6EASFDJT6XTLT?
Gyo Gyo - Funan,"Japanese, Pasta, Seafood, Drinks & Beverages",N/A,25 mins , 0.5 km,N/A,N/A,4-C3NZSEWUCBVBAT?
Boost Juice Bars - Funan,"Drinks & Beverages, Ice Cream, Dessert",N/A,25 mins , 0.5 km,N/A,N/A,4-C3CDSE4FCA6BE6?
The Green Collective SG - Funan Mall,"Alcohol, Snack, Mart, Health & Wellness, Vegan",N/A,20 mins , 0.5 km,N/A,N/A,4-C2XBJY4XDETUJ6?
Boost Juice Bars - Funan,"Drinks & Beverages, Ice Cream, Dessert",N/A,25 mins , 0.5 km,N/A,N/A,4-C3CDSE4FCA6BE6?
The Green Collective SG - Funan Mall,"Alcohol, Snack, Mart, Health & Wellness, Vegan",N/A,20 mins , 0.5 km,N/A,N/A,4-C2XBJY4XDETUJ6?
Stuff'd - Funan,"Healthy, Salad, Mexican, Halal, Group Friendly",N/A,25 mins , 0.5 km,N/A,N/A,4-C2VKLAC2MBT2NJ?
Hototogisu Maze Soba - Funan,"Japanese, Ramen, Noodles",N/A,25 mins , 0.5 km,N/A,N/A,4-C24JRFVTGA4GUA?
Quick Greens - Funan Mall,"Healthy, Vegetarian Friendly, Vegan",N/A,25 mins , 0.5 km,N/A,N/A,4-C24HDEKKL2WVC2?
Don Jr - Funan,"Japanese, Snack",N/A,25 mins , 0.5 km,N/A,N/A,4-C2XJHGMET2T3EX?
Carvers X - North Bridge Road,"Western, Beef, Vegetarian",N/A,N/A,N/A,N/A,N/A,4-C3UGCXDKSFTXHE?
Korean Cuisine - Funan Mall,Korean,N/A,25 mins , 0.5 km,N/A,N/A,4-C35YTYWFGB4JDA?
Big Grill - Best of Australian Steaks - Funan Mall,"Western, Local & Malaysian, BBQ & Grill",N/A,N/A,N/A,N/A,N/A,4-C35YTYWFCKLJTN?
Mala Hotpot - Funan Mall,"Chinese, Local & Malaysian, Mala",N/A,N/A,N/A,N/A,N/A,4-C35YTYWFCETYJT?
Claypot Delight - Funan Mall,"Local & Malaysian, Noodles",N/A,N/A,N/A,N/A,N/A,4-C35YTYWFCEAGNE?
Amanda Yong Tau Foo - Funan Mall,Local & Malaysian,N/A,N/A,N/A,N/A,N/A,4-C35YTYWFAUUETT?
Penyet King - Funan Mall,Local & Malaysian,N/A,N/A,N/A,N/A,N/A,4-C35YTYWFATCWBE?
Fish Soup Ban Mian - Funan Mall,"Local & Malaysian, Seafood, Noodles",N/A,N/A,N/A,N/A,N/A,4-C35YTYWFA6NAAJ?
Tong Luck Mixed Veg Rice - Funan Mall,"Local & Malaysian, Chinese, Hawker",N/A,N/A,N/A,N/A,N/A,4-C35YTYWFA62FTA?
Yuan Wei Mini Wok - Funan Mall,"Local & Malaysian, Noodles, Zi Char",N/A,N/A,N/A,N/A,N/A,4-C35YTYWFA4NWSE?
Flavors of Japan - Funan Mall,"Japanese, Ramen",N/A,N/A,N/A,N/A,N/A,4-C35YTYWEV2LFJ6?
Dim Sum - Funan Mall,"Dim Sum, Local & Malaysian",N/A,N/A,N/A,N/A,N/A,4-C35YTYWEV2EBRE?
Wingstop - Funan,"Fast Food, Fried Chicken, Western, Halal",N/A,30 mins , 0.5 km,N/A,N/A,4-C4NBJNMVAYXZME?
Xi Men Jie - Funan,"Chinese, Healthy, Drinks & Beverages",N/A,25 mins , 0.5 km,N/A,N/A,4-C4DGKA4GN4CDE2?
Mala Fried Skewer King - Funan Mall,Chinese,N/A,25 mins , 0.5 km,N/A,N/A,4-C4B2MFLTCJ4ZRE?
Bee Kee Truffle Wanton Noodle - CapitaSpring,"Chinese, Noodles, Drinks & Beverages",N/A,35 mins , 1.5 km,N/A,N/A,SGDD01392?
PENG 鹏 Tiong Bahru Wanton Mee - CapitaSpring,"Chinese, Local & Malaysian, Noodles",N/A,30 mins , 1.6 km,N/A,N/A,SGDD12541?
Authentic Hock Lam Beef Noodles - 13 North Canal Road,"Chinese, Noodles",N/A,35 mins , 1.5 km,N/A,N/A,SGDD01360?
Potato Corner - Funan,"Local & Malaysian, Fast Food, Snack",N/A,25 mins , 0.5 km,N/A,N/A,4-CZJZBADJCXA2NN?
Cellarbration Bistro & Bottle Shop - Lorong Telok,"Alcohol, Mart, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C4MYGELXJZLWJJ?
